Date,Service description,Service ID,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-05-18,Cloud Run,152E-C115-5142,6.25,0.00,0.00,0.00,6.246048,6.25
2026-05-18,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351989,2.35
2026-05-18,App Engine,F17B-412E-CB64,1.25,0.00,0.00,0.00,1.246855,1.25
2026-05-18,Cloud Storage,95FF-2EF5-5EA1,1.14,0.00,0.00,0.00,1.137055,1.14
2026-05-18,Cloud Build,8B5D-EF7D-EB12,0.83,0.00,0.00,0.00,0.829164,0.83
2026-05-18,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.176702,0.18
2026-05-18,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140303,0.14
2026-05-18,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-17,Artifact Registry,149C-F9EC-3994,6.99,0.00,0.00,0.00,6.991363,6.99
2026-05-17,Cloud Run,152E-C115-5142,6.18,0.00,0.00,0.00,6.181806,6.18
2026-05-17,Gemini API,AEFD-7695-64FA,2.76,0.00,0.00,0.00,2.758608,2.76
2026-05-17,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351984,2.35
2026-05-17,App Engine,F17B-412E-CB64,1.22,0.00,0.00,0.00,1.222073,1.22
2026-05-17,Cloud Storage,95FF-2EF5-5EA1,1.01,0.00,0.00,0.00,1.006666,1.01
2026-05-17,Cloud Build,8B5D-EF7D-EB12,0.49,0.00,0.00,0.00,0.493351,0.49
2026-05-17,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.175316,0.18
2026-05-17,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140309,0.14
2026-05-17,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-16,Gemini API,AEFD-7695-64FA,35.19,0.00,0.00,0.00,35.191510,35.19
2026-05-16,Artifact Registry,149C-F9EC-3994,6.83,0.00,0.00,0.00,6.828366,6.83
2026-05-16,Cloud Run,152E-C115-5142,6.39,0.00,0.00,0.00,6.394269,6.39
2026-05-16,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351987,2.35
2026-05-16,Cloud Build,8B5D-EF7D-EB12,1.55,0.00,0.00,0.00,1.546332,1.55
2026-05-16,Cloud Storage,95FF-2EF5-5EA1,1.34,0.00,0.00,0.00,1.344496,1.34
2026-05-16,App Engine,F17B-412E-CB64,1.21,0.00,0.00,0.00,1.209443,1.21
2026-05-16,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.178334,0.18
2026-05-16,Compute Engine,6F81-5844-456A,0.07,0.00,0.00,0.00,0.070337,0.07
2026-05-16,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-15,Gemini API,AEFD-7695-64FA,26.10,0.00,0.00,0.00,26.096146,26.10
2026-05-15,Artifact Registry,149C-F9EC-3994,6.85,0.00,0.00,0.00,6.849582,6.85
2026-05-15,Cloud Run,152E-C115-5142,6.35,0.00,0.00,0.00,6.353132,6.35
2026-05-15,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351985,2.35
2026-05-15,Cloud Build,8B5D-EF7D-EB12,2.04,0.00,0.00,0.00,2.036059,2.04
